pair_id,obstacle_vertices,robot_vertices,min_distance
0-4,62,3,174.622824
1-4,54,3,174.622824
2-0,98,6,212.745150
3-1,68,7,212.745150
4-3,55,8,213.497474
5-1,80,7,212.745150
6-2,12,5,350.293757
7-1,36,7,213.497474
8-1,61,7,213.497474
9-0,7,6,350.293757
10-4,94,3,174.496508
11-3,6,8,294.487232
12-2,79,5,212.745150
13-0,37,6,213.497474
14-0,37,6,213.497474
15-4,44,3,174.622824
16-1,92,7,212.745150
17-4,67,3,174.622824
18-4,59,3,174.622824
19-2,5,5,350.293757
20-4,32,3,174.622824
21-0,75,6,212.745150
22-1,72,7,212.745150
23-1,48,7,213.497474
24-4,26,3,174.496508
25-2,88,5,212.745150
26-4,73,3,174.496508
27-3,90,8,212.745150
28-3,37,8,213.497474
29-0,69,6,212.745150
30-2,63,5,213.497474
31-3,11,8,350.293757
32-3,78,8,212.745150
33-4,84,3,174.496508
34-2,18,5,350.293757
35-1,5,7,350.293757
36-1,52,7,213.497474
37-2,14,5,350.293757
38-2,71,5,212.745150
39-3,65,8,213.497474
40-2,77,5,212.745150
41-1,49,7,213.497474
42-4,79,3,174.496508
43-2,77,5,212.745150
44-1,98,7,212.745150
45-2,22,5,213.497474
46-0,48,6,213.497474
47-3,85,8,212.745150
48-1,60,7,213.497474
49-0,43,6,213.497474
50-0,81,6,212.745150
51-0,52,6,213.497474
52-4,57,3,174.622824
53-3,75,8,212.745150
54-4,17,3,280.449139
55-0,17,6,350.293757
56-4,78,3,174.496508
57-1,47,7,213.497474
58-0,24,6,213.497474
59-1,90,7,212.745150
60-2,37,5,213.497474
61-4,85,3,174.496508
62-1,93,7,212.745150
63-2,81,5,212.745150
64-1,35,7,213.497474
65-0,52,6,213.497474
66-1,17,7,350.293757
67-3,48,8,213.497474
68-1,57,7,213.497474
69-2,89,5,212.745150
70-1,74,7,212.745150
71-4,38,3,174.622824
72-3,96,8,212.745150
73-0,62,6,213.497474
74-0,22,6,213.497474
75-2,38,5,213.497474
76-2,78,5,212.745150
77-2,54,5,213.497474
78-2,86,5,212.745150
79-0,39,6,213.497474
80-0,78,6,212.745150
81-4,24,3,174.496508
82-0,49,6,213.497474
83-2,26,5,213.497474
84-2,42,5,213.497474
85-0,18,6,350.293757
86-2,75,5,212.745150
87-3,61,8,213.497474
88-2,85,5,212.745150
89-2,78,5,212.745150
90-3,100,8,212.745150
91-0,92,6,212.745150
92-2,93,5,212.745150
93-1,89,7,212.745150
94-4,80,3,174.496508
95-4,90,3,174.496508
96-4,38,3,174.622824
97-0,40,6,213.497474
98-1,12,7,350.293757
99-0,83,6,212.745150
100-2,70,5,212.745150
101-1,69,7,212.745150
102-4,70,3,174.496508
103-3,34,8,213.497474
104-4,56,3,174.622824
105-4,33,3,174.622824
106-0,81,6,212.745150
107-0,84,6,212.745150
108-1,57,7,213.497474
109-3,13,8,350.293757
110-0,25,6,213.497474
111-2,20,5,213.497474
112-2,33,5,213.497474
113-4,33,3,174.622824
114-2,29,5,213.497474
115-1,37,7,213.497474
116-0,39,6,213.497474
117-3,59,8,213.497474
118-3,85,8,212.745150
119-2,79,5,212.745150
120-4,26,3,174.496508
121-0,37,6,213.497474
122-2,99,5,212.745150
123-2,34,5,213.497474
124-1,38,7,213.497474
125-1,26,7,213.497474
126-2,72,5,212.745150
127-2,88,5,212.745150
128-3,48,8,213.497474
129-0,49,6,213.497474
130-3,59,8,213.497474
131-0,40,6,213.497474
132-2,5,5,350.293757
133-3,14,8,350.293757
134-3,26,8,213.497474
135-4,87,3,174.496508
136-0,99,6,212.745150
137-4,57,3,174.622824
138-4,38,3,174.622824
139-3,98,8,212.745150
140-2,70,5,212.745150
141-2,23,5,213.497474
142-4,28,3,174.496508
143-0,43,6,213.497474
144-1,74,7,212.745150
145-2,75,5,212.745150
146-0,68,6,212.745150
147-0,78,6,212.745150
148-2,37,5,213.497474
149-0,100,6,212.745150
150-3,89,8,212.745150
151-4,57,3,174.622824
152-3,9,8,350.293757
153-0,67,6,213.497474
154-3,35,8,213.497474
155-1,78,7,212.745150
156-0,19,6,213.497474
157-0,18,6,350.293757
158-1,99,7,212.745150
159-0,39,6,213.497474
160-1,51,7,213.497474
161-1,97,7,212.745150
162-2,8,5,350.293757
163-1,16,7,350.293757
164-4,52,3,174.622824
165-3,36,8,213.497474
166-2,84,5,212.745150
167-3,72,8,212.745150
168-3,50,8,213.497474
169-3,38,8,213.497474
170-4,71,3,174.496508
171-0,56,6,213.497474
172-1,21,7,213.497474
173-0,48,6,213.497474
174-4,79,3,174.496508
175-1,37,7,213.497474
176-3,68,8,212.745150
177-3,92,8,212.745150
178-4,24,3,174.496508
179-2,49,5,213.497474
180-3,44,8,213.497474
181-2,18,5,350.293757
182-1,99,7,212.745150
183-0,10,6,350.293757
184-3,63,8,213.497474
185-2,65,5,213.497474
186-4,30,3,174.622824
187-2,59,5,213.497474
188-1,36,7,213.497474
189-4,55,3,174.622824
190-1,31,7,213.497474
191-2,41,5,213.497474
192-0,89,6,212.745150
193-4,20,3,174.496508
194-0,35,6,213.497474
195-4,14,3,280.449139
196-2,79,5,212.745150
197-4,39,3,174.622824
198-4,32,3,174.622824
199-1,49,7,213.497474
200-3,34,8,213.497474
201-2,11,5,350.293757
202-3,34,8,213.497474
203-0,34,6,213.497474
204-1,50,7,213.497474
205-1,45,7,213.497474
206-4,55,3,174.622824
207-0,73,6,212.745150
208-0,89,6,212.745150
209-1,56,7,213.497474
210-2,31,5,213.497474
211-0,82,6,212.745150
212-1,82,7,212.745150
213-1,100,7,212.745150
214-0,33,6,213.497474
215-0,71,6,212.745150
216-3,92,8,212.745150
217-4,61,3,174.622824
218-3,66,8,213.497474
219-4,10,3,294.487232
220-0,97,6,212.745150
