obstacle_vertices,robot_vertices,result_vertices,time_microseconds
62,3,65,0
54,3,57,0
98,6,104,0
68,7,75,0
55,8,63,0
80,7,87,0
12,5,17,0
36,7,43,0
61,7,68,0
7,6,13,0
94,3,97,0
6,8,14,0
79,5,84,0
37,6,43,0
37,6,43,0
44,3,47,0
92,7,99,0
67,3,70,0
59,3,62,0
5,5,10,0
32,3,35,0
75,6,81,0
72,7,79,0
48,7,55,0
26,3,29,0
88,5,93,0
73,3,76,0
90,8,98,0
37,8,45,0
69,6,75,0
63,5,68,0
11,8,19,0
78,8,86,0
84,3,87,0
18,5,23,0
5,7,12,0
52,7,59,0
14,5,19,0
71,5,76,0
65,8,73,0
77,5,82,0
49,7,56,0
79,3,82,0
77,5,82,0
98,7,105,0
22,5,27,0
48,6,54,0
85,8,93,0
60,7,67,0
43,6,49,0
81,6,87,0
52,6,58,0
57,3,60,0
75,8,83,0
17,3,20,0
17,6,23,0
78,3,81,0
47,7,54,0
24,6,30,0
90,7,97,0
37,5,42,0
85,3,88,0
93,7,100,0
81,5,86,0
35,7,42,0
52,6,58,0
17,7,24,0
48,8,56,0
57,7,64,0
89,5,94,0
74,7,81,0
38,3,41,0
96,8,104,0
62,6,68,0
22,6,28,0
38,5,43,0
78,5,83,0
54,5,59,0
86,5,91,0
39,6,45,0
78,6,84,0
24,3,27,0
49,6,55,0
26,5,31,0
42,5,47,0
18,6,24,0
75,5,80,0
61,8,69,0
85,5,90,0
78,5,83,0
100,8,108,0
92,6,98,0
93,5,98,0
89,7,96,0
80,3,83,0
90,3,93,0
38,3,41,0
40,6,46,0
12,7,19,0
83,6,89,0
70,5,75,0
69,7,76,0
70,3,73,0
34,8,42,0
56,3,59,0
33,3,36,0
81,6,87,0
84,6,90,0
57,7,64,0
13,8,21,0
25,6,31,0
20,5,25,0
33,5,38,0
33,3,36,0
29,5,34,0
37,7,44,0
39,6,45,0
59,8,67,0
85,8,93,0
79,5,84,0
26,3,29,0
37,6,43,0
99,5,104,0
34,5,39,0
38,7,45,0
26,7,33,0
72,5,77,0
88,5,93,0
48,8,56,0
49,6,55,0
59,8,67,0
40,6,46,0
5,5,10,0
14,8,22,0
26,8,34,0
87,3,90,0
99,6,105,0
57,3,60,0
38,3,41,0
98,8,106,0
70,5,75,0
23,5,28,0
28,3,31,0
43,6,49,0
74,7,81,0
75,5,80,0
68,6,74,0
78,6,84,0
37,5,42,0
100,6,106,0
89,8,97,0
57,3,60,0
9,8,17,0
67,6,73,0
35,8,43,0
78,7,85,0
19,6,25,0
18,6,24,0
99,7,106,0
39,6,45,0
51,7,58,0
97,7,104,1000
8,5,13,0
16,7,23,0
52,3,55,0
36,8,44,0
84,5,89,0
72,8,80,0
50,8,58,0
38,8,46,0
71,3,74,0
56,6,62,0
21,7,28,0
48,6,54,0
79,3,82,0
37,7,44,0
68,8,76,0
92,8,100,0
24,3,27,0
49,5,54,0
44,8,52,0
18,5,23,0
99,7,106,0
10,6,16,0
63,8,71,0
65,5,70,0
30,3,33,0
59,5,64,0
36,7,43,0
55,3,58,0
31,7,38,0
41,5,46,0
89,6,95,0
20,3,23,0
35,6,41,0
14,3,17,0
79,5,84,0
39,3,42,0
32,3,35,0
49,7,56,0
34,8,42,0
11,5,16,0
34,8,42,0
34,6,40,0
50,7,57,0
45,7,52,0
55,3,58,0
73,6,79,0
89,6,95,0
56,7,63,0
31,5,36,0
82,6,88,1000
82,7,89,0
100,7,107,0
33,6,39,0
71,6,77,0
92,8,100,0
61,3,64,0
66,8,74,0
10,3,13,0
97,6,103,0
7,3,10,0
6,5,11,0
57,7,64,0
77,3,80,0
8,5,13,0
95,8,103,0
91,5,96,0
30,3,33,0
45,6,51,0
95,6,101,0
37,3,40,0
94,8,102,0
95,5,100,0
40,8,48,0
70,3,73,0
48,5,53,0
36,6,42,0
12,5,17,0
18,7,25,0
92,5,97,0
53,3,56,0
69,5,74,0
35,3,38,0
52,8,60,0
69,8,77,0
28,6,34,0
78,6,84,999
18,7,25,0
6,3,9,0
63,6,69,0
86,5,91,0
16,6,22,0
24,3,27,0
19,5,24,0
72,6,78,0
66,7,73,0
61,6,67,0
30,7,37,0
32,8,40,0
6,7,13,0
61,5,66,0
78,3,81,0
68,5,73,0
28,7,35,0
64,8,72,0
57,5,62,0
60,5,65,0
31,7,38,0
49,5,54,0
50,8,58,0
89,5,94,0
75,3,78,0
40,6,46,0
54,5,59,0
40,3,43,0
9,6,15,0
88,8,96,0
20,6,26,0
59,8,67,0
16,6,22,0
9,5,14,0
75,3,78,0
84,5,89,0
45,3,48,0
100,8,108,0
92,3,95,0
54,6,60,0
17,8,25,0
76,6,82,0
76,5,81,0
41,3,44,0
97,7,104,0
10,3,13,0
13,8,21,0
70,7,77,0
20,8,28,0
54,5,59,0
72,8,80,0
6,7,13,0
58,7,65,0
13,7,20,0
15,6,21,0
95,8,103,0
5,6,11,0
100,3,103,0
85,6,91,0
25,6,31,0
9,6,15,0
34,6,40,0
45,5,50,0
34,6,40,0
70,8,78,0
31,3,34,0
63,5,68,0
25,6,31,0
68,6,74,0
27,7,34,0
20,3,23,0
21,6,27,0
52,6,58,0
88,5,93,0
25,3,28,0
24,6,30,0
24,6,30,0
68,6,74,0
61,5,66,0
46,8,54,0
28,3,31,0
68,3,71,0
27,7,34,0
83,5,88,0
44,7,51,0
21,7,28,0
10,7,17,0
8,7,15,0
92,3,95,0
70,6,76,0
23,7,30,0
94,6,100,0
75,6,81,0
34,6,40,0
12,6,18,0
34,3,37,0
26,6,32,0
60,3,63,0
43,6,49,0
54,6,60,0
38,5,43,0
57,6,63,0
48,7,55,0
42,8,50,0
5,7,12,0
81,5,86,0
89,3,92,0
28,8,36,0
94,7,101,0
22,6,28,0
97,6,103,0
18,7,25,0
75,3,78,0
90,3,93,0
17,3,20,0
19,3,22,0
55,6,61,0
63,5,68,0
64,5,69,0
84,8,92,0
68,6,74,0
52,8,60,0
43,6,49,1000
7,8,15,0
95,5,100,0
88,6,94,0
21,3,24,0
51,3,54,0
19,3,22,0
67,7,74,0
77,8,85,0
91,8,99,0
33,3,36,0
21,7,28,0
58,6,64,0
52,6,58,0
6,3,9,0
88,5,93,0
43,7,50,0
50,8,58,0
77,3,80,0
28,7,35,0
83,6,89,0
13,7,20,0
99,6,105,0
99,7,106,0
51,6,57,0
88,5,93,0
59,8,67,0
48,5,53,0
86,5,91,0
32,7,39,0
53,7,60,0
64,6,70,0
96,3,99,0
17,8,25,0
40,8,48,0
85,7,92,0
55,3,58,1000
100,8,108,0
76,5,81,0
79,6,85,0
77,5,82,0
59,3,62,0
34,7,41,0
71,7,78,0
27,7,34,0
61,6,67,0
55,6,61,0
42,6,48,0
50,5,55,0
91,3,94,0
42,7,49,0
82,8,90,0
77,3,80,0
45,5,50,0
39,5,44,1000
72,3,75,0
90,7,97,0
71,6,77,0
75,8,83,0
28,3,31,0
23,5,28,0
62,5,67,0
32,5,37,0
31,8,39,0
76,5,81,0
15,6,21,0
84,6,90,0
46,7,53,0
18,5,23,0
85,8,93,0
75,8,83,0
28,7,35,0
19,8,27,0
26,6,32,0
76,6,82,1000
29,5,34,0
37,8,45,0
24,8,32,0
25,6,31,0
59,7,66,0
53,6,59,0
19,5,24,0
28,8,36,0
100,7,107,0
5,6,11,0
29,5,34,0
93,3,96,0
87,3,90,0
100,3,103,0
75,6,81,0
17,3,20,0
99,3,102,0
53,7,60,0
51,3,54,0
45,6,51,0
19,5,24,0
94,5,99,0
30,8,38,0
62,6,68,0
11,5,16,0
32,8,40,0
36,7,43,0
45,5,50,0
74,7,81,0
70,3,73,0
69,7,76,0
12,3,15,0
73,8,81,0
86,8,94,0
9,6,15,0
57,3,60,0
52,8,60,0
72,3,75,0
23,7,30,0
65,8,73,0
97,5,102,1000
13,5,18,0
72,8,80,0
36,7,43,0
40,3,43,0
66,8,74,0
22,5,27,0
51,3,54,0
63,8,71,0
72,7,79,0
65,7,72,0
79,7,86,0
41,7,48,0
15,7,22,0
83,8,91,0
